16	3	536870912	1048576	887699	639370	223874	1441	23012
16	3	536870912	131072	2001753	669578	1308032	1194	22948
16	3	536870912	16384	10560411	662620	9873471	1245	23074
16	3	536870912	2097152	838156	666256	147373	1684	22841
16	3	536870912	262144	1333844	657713	652092	1090	22947
16	3	536870912	32768	5621211	641459	4955702	1066	22982
16	3	536870912	4194304	806984	672203	109948	1865	22967
16	3	536870912	524288	1045464	659556	361557	1364	22986
16	3	536870912	65536	3218400	657428	2536921	1191	22858
16	3	536870912	8388608	783010	664300	92537	3088	23084
16	4	134217728	1048576	193352	168469	16546	449	7886
16	4	134217728	131072	220435	165821	46507	240	7865
16	4	134217728	16384	464877	164241	292508	216	7911
16	4	134217728	2097152	187203	163561	14890	714	8036
16	4	134217728	262144	201401	163871	29276	271	7980
16	4	134217728	32768	320761	161389	151207	212	7951
16	4	134217728	4194304	188971	165823	13949	1344	7853
16	4	134217728	524288	194137	165134	20722	343	7937
16	4	134217728	65536	253497	164017	81288	219	7972
16	4	268435456	1048576	387135	331149	39800	631	15553
16	4	268435456	131072	495099	324692	154464	424	15517
16	4	268435456	16384	1465537	318566	1130753	426	15791
16	4	268435456	2097152	373361	323008	33544	905	15903
16	4	268435456	262144	440933	334052	90718	378	15782
16	4	268435456	32768	911308	326174	569045	389	15699
16	4	268435456	4194304	375067	328867	29051	1466	15683
16	4	268435456	524288	402452	330397	55822	490	15741
16	4	268435456	65536	626379	320931	289206	432	15808
16	4	268435456	8388608	367943	322805	27122	2542	15473
16	4	536870912	1048576	808824	658537	117542	1133	31610
16	4	536870912	131072	1271527	654067	584980	860	31620
16	4	536870912	16384	5223524	659129	4531686	859	31849
16	4	536870912	2097152	767683	653616	81011	1304	31751
16	4	536870912	262144	995056	640403	321897	901	31852
16	4	536870912	32768	2956404	658523	2265258	823	31798
16	4	536870912	4194304	753503	653388	66210	1875	32028
16	4	536870912	524288	863787	650322	181022	919	31522
16	4	536870912	65536	1780003	643536	1103909	780	31776
16	4	536870912	8388608	757266	663576	59723	2534	31431
16	8	134217728	1048576	199941	164393	11850	330	23366
16	8	134217728	131072	188523	162349	13533	119	12521
16	8	134217728	16384	229606	159872	57567	83	12083
16	8	134217728	2097152	201758	165578	11487	592	24100
16	8	134217728	262144	189713	165727	12308	153	11524
16	8	134217728	32768	214367	169649	31448	101	13167
16	8	134217728	4194304	206818	170122	12142	1201	23352
175193	159393	5816	1240	8744
16	8	134217728	524288	192556	168519	11838	195	12003
16	8	134217728	65536	196148	166042	18510	111	11483
16	8	268435456	1048576	393573	341863	24522	389	26797
16	8	268435456	131072	393870	329884	38195	216	25574
16	8	268435456	16384	566766	328531	213594	178	24462
16	8	268435456	2097152	392832	321721	23729	682	46699
